"id.individual","choice.card","version","Block","Sum","Sum.1","infmortality.1","reducedvis.1","morbidity.1","cost.1","infmortality.2","reducedvis.2","morbidity.2","cost.2","infmortality.3","reducedvis.3","morbidity.3","cost.3","infmortality.4","reducedvis.4","morbidity.4","cost.4","Q12.choice","Q17.gender.female","Q18.age","Q19.educ","Q22.income"
28,1,1.3,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,1,33,3,2
28,2,1.3,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,2,1,33,3,2
28,3,1.3,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,2,1,33,3,2
28,4,1.3,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,1,33,3,2
28,5,1.3,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,3,1,33,3,2
29,1,2.2,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,3,0,26,3,2
29,2,2.2,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,3,0,26,3,2
29,3,2.2,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,3,0,26,3,2
29,4,2.2,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,1,0,26,3,2
29,5,2.2,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,3,0,26,3,2
30,1,1.6,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,2,0,30,3,2
30,2,1.6,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,4,0,30,3,2
30,3,1.6,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,2,0,30,3,2
30,4,1.6,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,0,30,3,2
30,5,1.6,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,1,0,30,3,2
31,1,2.3,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,2,0,19,3,2
31,2,2.3,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,3,0,19,3,2
31,3,2.3,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,19,3,2
31,4,2.3,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,0,19,3,2
31,5,2.3,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,3,0,19,3,2
32,1,1.5,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,1,1,21,3,2
32,2,1.5,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,1,21,3,2
32,3,1.5,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,1,1,21,3,2
32,4,1.5,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,21,3,2
32,5,1.5,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,1,1,21,3,2
33,1,2.1,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,4,0,60,1,2
33,2,2.1,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,4,0,60,1,2
33,3,2.1,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,4,0,60,1,2
33,4,2.1,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,4,0,60,1,2
33,5,2.1,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,4,0,60,1,2
34,1,1.3,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,1,1,24,3,3
34,2,1.3,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,2,1,24,3,3
34,3,1.3,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,3,1,24,3,3
34,4,1.3,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,24,3,3
34,5,1.3,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,2,1,24,3,3
35,1,2.5,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,1,0,35,3,2
35,2,2.5,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,1,0,35,3,2
35,3,2.5,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,35,3,2
35,4,2.5,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,0,35,3,2
35,5,2.5,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,1,0,35,3,2
36,1,2.5,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,4,0,76,2,2
36,2,2.5,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,3,0,76,2,2
36,3,2.5,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,76,2,2
36,4,2.5,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,0,76,2,2
36,5,2.5,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,3,0,76,2,2
37,1,1.4,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,2,1,21,3,1
37,2,1.4,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,3,1,21,3,1
37,3,1.4,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,2,1,21,3,1
37,4,1.4,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,2,1,21,3,1
37,5,1.4,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,2,1,21,3,1
38,1,1.4,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,2,1,19,3,2
38,2,1.4,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,1,19,3,2
38,3,1.4,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,1,1,19,3,2
38,4,1.4,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,19,3,2
38,5,1.4,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,1,1,19,3,2
39,1,2.3,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,2,0,38,3,2
39,2,2.3,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,2,0,38,3,2
39,3,2.3,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,38,3,2
39,4,2.3,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,0,38,3,2
39,5,2.3,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,2,0,38,3,2
40,1,2.1,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,1,1,34,3,1
40,2,2.1,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,1,1,34,3,1
40,3,2.1,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,1,34,3,1
40,4,2.1,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,1,34,3,1
40,5,2.1,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,3,1,34,3,1
41,1,1.5,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,0,52,3,3
41,2,1.5,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,2,0,52,3,3
41,3,1.5,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,2,0,52,3,3
41,4,1.5,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,0,52,3,3
41,5,1.5,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,3,0,52,3,3
42,1,1.6,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,1,1,26,3,2
42,2,1.6,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,3,1,26,3,2
42,3,1.6,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,2,1,26,3,2
42,4,1.6,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,1,1,26,3,2
42,5,1.6,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,2,1,26,3,2
43,1,1.4,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,0,35,2,1
43,2,1.4,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,3,0,35,2,1
43,3,1.4,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,3,0,35,2,1
43,4,1.4,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,0,35,2,1
43,5,1.4,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,3,0,35,2,1
44,1,2.3,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,1,1,23,3,2
44,2,2.3,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,1,1,23,3,2
44,3,2.3,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,1,23,3,2
44,4,2.3,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,1,1,23,3,2
44,5,2.3,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,1,1,23,3,2
45,1,1.2,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,0,22,2,1
45,2,1.2,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,3,0,22,2,1
45,3,1.2,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,3,0,22,2,1
45,4,1.2,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,0,22,2,1
45,5,1.2,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,3,0,22,2,1
46,1,1.3,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,0,25,3,2
46,2,1.3,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,0,25,3,2
46,3,1.3,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,3,0,25,3,2
46,4,1.3,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,0,25,3,2
46,5,1.3,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,2,0,25,3,2
47,1,2.1,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,2,0,23,2,1
47,2,2.1,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,2,0,23,2,1
47,3,2.1,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,23,2,1
47,4,2.1,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,1,0,23,2,1
